R,No. Pedido,INFO,OT,MP,ML UV,ML TOTAL,ANCHO,M2,Cve,Cliente,Sku item,Descripcion,ABCD,F.Pedido,F.Lib,F. Soli. Clie,F. Venci. Ped,"F. Emb.
Plan",F. MODIFICADA,F. PT ENTREGA,Dias Lib,Dias Venci.,C.Orded.,C.Surtida,C.XSurtir,Existencia,U/M,Total,Vend,VENDEDORES,Nota
,I0ETI27987-1,SALDO POR CERRAR,OE00048077,M1830236-275,34.9249,678.940056,0.275,186.7085154,CT9222P,RECKITT BENCKISER MEXICO,09222I0027C,ETIQ. 50036799 VANISH PINK 420 ML. FTE.,C, 09/12/23, 09/12/23, 27/12/23, 28/12/23, 30/12/23,,,67,48,400.00,382.00,18.00,0.00,MI,"4,091.40",79,Jaime Blasques,
,I0ETI28003-3,SALDO POR CERRAR,,M0151319-230,35.71,38.5668,0.23,8.870364,N12368P,REPARTOS RAPIDOS DE JALISCO,12368I0003A,"ETIQ, TD, FOND, 51MMX25MM, 3"" AZUL",C, 11/12/23, 11/12/23, 16/12/23, 29/12/23, 31/12/23,,,65,60,40.00,39.00,1.00,0.00,RL,129.59,197,#N/A,
,I0ETI28007-1,CANCELACION SIST,,M0151318-225,52.39,905.2992,0.225,203.69232,NE3306P,BUNZL DE MEXICO,03306I0004A,ETIQ 4X4 CHICH PRENSADO D/AGUSTIN FINO,C, 11/12/23, 11/12/23, 15/12/23, 29/12/23, 31/12/23,,,65,61,16.00,0.00,16.00,0.00,RL,"7,187.20",117,Mayra Velazquez,
,I0ETI28012-2,SALDO POR CERRAR,,M0151319-220,83.9,72.4896,0.22,15.947712,NT7189P,HIPOLITO NEVAREZ RODRIGUEZ,07189I0003A,ETIQ. TD 4 X 6.5 C-P C-3 R-900 CON MARCA,C, 12/12/23, 12/12/23, 29/12/23, 30/12/23, 01/01/24,,,64,47,46.80,46.00,0.80,0.00,MI,235.80,179,Guadalupe Gomar,
,I0ETI28038-1,SALDO POR CERRAR,,M0549196-254,26.46,200.0376,0.254,50.8095504,N11585P,MARTIN ARTURO QUEZADA LOPEZ,11585I0002A,ETIQ. TT 3X3 FIFO ROSA  R-2000 C-3 C/P,C, 13/12/23, 13/12/23, 02/01/24, 31/12/23, 02/01/24,,,63,43,143.00,136.00,7.00,0.00,MI,749.87,39,Alejandro de Mata,
,I0ETI28038-3,SALDO POR CERRAR,,M0549196-254,26.46,114.3072,0.254,29.0340288,N11585P,MARTIN ARTURO QUEZADA LOPEZ,11585I0006A,ETIQ. TT 3X3 FIFO P-148-C R-2000 C-3 C/P,C, 13/12/23, 13/12/23, 02/01/24, 31/12/23, 02/01/24,,,63,43,200.00,196.00,4.00,0.00,MI,428.50,39,Alejandro de Mata,
,I0ETI28058-1,SALDO POR CERRAR,,M0151226-115,8.47,731.808,0.115,84.15792,NO3666P,THINK SMART,03666I0189A,ETIQ BOPP TRANSP 30X22MM R15000 3P C3 FS,C, 15/12/23, 15/12/23, 02/01/24, 02/01/24, 04/01/24,,,61,43,"2,000.00","1,920.00",80.00,0.00,MI,"1,558.86",205,Gabriela Chapa,
,I0ETI28018-1,PLANEACION,,M0151306-325,207.4,27999,0.325,9099.675,NE9988P,FERGUMEX,50000B0015A,ETIQ. TT 4 X 6 C/P R/1000 C-3,A, 12/12/23, 12/12/23, 04/01/24, 04/01/24, 06/01/24,,,64,41,125.00,0.00,125.00,-13.00,CJ,"96,396.84",205,Gabriela Chapa,
,I0ETI28362-1,SALDO POR CERRAR,,M0151306-220,331.5,716.04,0.22,157.5288,NE5388D,ID GLOBAL SOLUTIONS,50000B0014A,ETIQUETA TT 4X6 1/2  R-1000 C/P C-3,A, 27/12/23, 28/12/23, 10/01/24, 04/01/24, 06/01/24,,,48,35,23.00,21.00,2.00,0.00,CJ,"1,720.46",39,Alejandro de Mata,
,I0ETI27924-1,MP FLEXCON,,M0085244-216,14.8,447.552,0.216,96.671232,CA6958D,VICTORY PACKAGING LP.,06958B0003C,ETIQUETA 12000412A 4 X 2 1/2 MEDIO CORTE,C, 23/11/23, 19/12/23, 30/11/23, 06/01/24, 08/01/24,,,57,76,120.00,92.00,28.00,0.00,MI,"5,864.55",182,Clelia Sanchez,
